title,rating,author,date_published,review_text,Type Of Traveller,Seat Type,Route,Date Flown,Recommended,Aircraft
"""joined budget airline bunch""",1,J Kovasko,2017-01-13,"✅ verified review |  london heathrow to prague. i've been commuting to and from work for last six and half years. the only airline that takes me to london heathrow is british airways. sometimes i fly there and back up to two times a week. i do not eat on flights, so i thought ba's decision to charge for food was not gonna upset me too much. however they've managed. i always bring my own good quality tea and a cup and ask crew for some hot water. drink my tea and go to sleep. to my surprise i am not allowed to get hot water anymore! in fact i am not allowed to get any water on ba shorthaul flight unless i pay (even if i bring my own cup and tea) or unless it's medical emergency, then i could get cup of cold water for free. so not only they didn't lower the fare, but they also sucessfully joined budget airline bunch by charging even for water! to my great regret they are the only airline that takes me to heathrow so i can't take my custom anywhere else unless i change job. but if i am to fly on holiday, british airways will not be my chosen carrier ever again.",Family Leisure,Business Class,MIA to LHR,2017-01-01,no,Boeing 747
"""cabin staff stomp up and down the aisle""",1,C Richards,2017-01-05,"✅ verified review |  i've flown this route (sydney to london) many times with other airlines and british airways is the worst. they changed our seats during the fuel stop at singapore - without notice, without explanation. the food was terrible - no fruit or green vegetable to be seen. cabin staff stomp up and down the aisle attending to premium economy - bumped into numerous times. toilet locations on board are terrible - those poor people seated right next to the wc door. paid extra for reserved seats - no confirmation. inflight entertainment was awful - really, really old movies. this airline trades on some nostalgic image as if they were in the 1950's. other airlines are far superior. don't risk it - you'll be disappointed.",Couple Leisure,Economy Class,MAD to YUL via LHR,2016-12-01,no,Boeing 747
"""offered excellent attentive service""",10,B Davidson,2016-12-27,"✅ verified review |  having read so many negative reviews on this site regarding british airways and their first class product i was somewhat concerned as to what the experience would be like on our first class flight from lhr-san on ba273 on their b747-400, i needn't have worried, this flight was excellent on all aspects. our domestic connecting flight from man-lhr was delayed by 2 hours due to fog at lhr, the captain  came into the gate area and explained the reasons of the delay and invited questions from any concerned passengers about their connecting flights in lhr. luckily we had planned 4 hours into our itinerary so the delay caused us no problems, passengers with tight connections at lhr were offered alternative connection options. the concorde lounge in lhr t5 ba first class passengers was superb with professional and courteous staff, we had booked a cabana and spa treatments, both were superb and highly recommended, plan time into your itinerary to enjoy these to the full. the lounge offers a la carte dining and the food was excellentpromptly, champagne and great wines were also available. onboard the ba747 in the first cabin we had seats 2a & 2k, these offered great comfort for the 11 hour flight, the seats were made into a bed by the cabin crew when you requested it, i got 6 hours sleep, good quality quilts and pillows helped this. seats 1a or 1k may have been slightly better for a couple travelling together as they are closer together than 2a 2k, but this is not a negative issue. the meal service was excellent, dine when you want, excellent choice of aperitifs, wines and champagne. the young cabin crew offered excellent attentive service in a very professional manner throughout the 11 hour flight. first class seats offer good privacy, probably centre seats 4ef and 5ef offer the least privacy and therefore i would avoid these where possible. ba first is in a league of it's own and miles ahead of club, both in the air and on the ground! well done ba, this really was a first class experience in every meaning of the words.",Solo Leisure,Premium Economy,DXB to YYZ via LHR,2016-12-01,no,Boeing 787
"""contempt for its customers""",1,N Anderson,2016-12-21,"✅ verified review | london heathrow to copenhagen. after many horrible experiences on ba, i am convinced this airline has total contempt not only for its customers but even for top tier elite frequent flyers. i am aa executive platinum and i am being treated worse than cattle - forced to check in carry-on bag which is within the ba limits on multiple occasions, denied boarding, zero upgrade policy, zero flexibility when being forcefully re-booked (recently i had to pay £300 in addition to an already expensive £400 ticket for a 2 hr eu flight). i live in london and i'm a loyal american airlines frequent flyer clocking around 200,000 miles a year. i will avoid british airways even if it means an extra connection, flying a low cost carrier or not flying at all.",Solo Leisure,Economy Class,HKG to LHR,2016-12-01,yes,A380
"""the staff then disappeared""",3,P Tyler,2016-12-13,"✅ verified review |  flew london heathrow to bangkok with british airways in premium economy, in an old tired plane. the tray table didn't work in fact broken, and the screen was dirty, the colour was going. white wine was warm, starter was a strange red cabbage in mayonnaise, dreadful. main was a good piece of beef with unpleasant veg, then what appeared to be a piece of cake. the staff then disappeared. the trays weren't then cleared for an hour. when i went to the back for another drink all the staff were there having a coffee, besieged by people wanting things. they had lost a grip of the service. in economy people were working round the uncleared food trays. the breakfast was english, better than dinner, but no bread just awful danish pastry. poor, thinking of what premium economy costs.",Business,Business Class,CTU to LHR,2016-12-01,no,Boeing 787
"""disinterested and unhelpful""",2,Andrew Staton,2016-12-08,"appalling food, especially on the orlando-gatwick return leg. choice of a horrible-smelling curry and a vegetarian pasta, the pasta was as if it had been boiled for an hour and the tomato sauce tasted like it came from a chemical factory. there was a roll but no butter, instead a tiny pot of 'spread' that was whipped up to give it bulk and which virtually disappeared in your mouth the moment it entered. for 'breakfast' we were given a tough bagel with a filling of cream cheese that was probably only a few molecules thick. no juice etc. the attitude of the flight attendant was completely disinterested and unhelpful when i asked her to ask the person in front of me to return her seat into the upright position when drinks were served. the amount of space that the reclined seat deprived me of would have made the drinking of my drink very uncomfortable. the flight attendant suggested that i should recline my seat as well and couldn't understand when i refused to do this on account of it making me a complete hypocrite. eventually the passenger in front of me must have got the message because she put her seat back off her own bat. i felt very sad that my national airline of british airways has lowered itself to these standards of food and customer service. the seat was ok but nothing to write home about.",Couple Leisure,Premium Economy,LHR to YYC,2016-10-01,yes,Boeing 787
"""nothing good to say about this trip""",1,R Schroeder,2016-12-06,"shocking. there is nothing good to say about this trip: - people with 3 pieces of hand luggage were allowed to board. business class seat pitch is tiny, there is insufficient space to work. catering at this 15.30 hrs departure was a plate with 3 finger sandwiches, that was it for a 2 hour and 10 minute flight in business class. moving map did not work. plane parked far away from the terminal amongst cargo planes, bus only departed once all people had disembarked. no priority business class bus. altogether a terrible experience. going forward: tap - you have my business.",Solo Leisure,Economy Class,LHR to IST,2016-01-01,no,A321
"""it was not a pleasant flight""",1,W Cole,2016-11-30,"✅ verified review |  bassinets by british airways cater for newborn only. my 10 month old son could not fit in it. the only option was a child seat, however my son sleeps lying flat and will not stay sleeping in the child seat. the only option is to sleep on you. however the arm rests are fixed in and hard. couple that with the need to breast feed your child, with his poor head and legs crammed in between the seat, either his head would get banged on the armrest or he'd kick the armrest at the other end. it was not a pleasant flight for myself or the child flying from london to hong kong. other airlines offer bassinets up to one years, some even 2 years and also have arm rests that see moveable so that your child is not so constrained in a tiny space for long hours. imagine a 13 hour flight with your child sleeping on you diagonally length wise because he can't fit in the seat. and every so often you fear he'll fall off your lap. to travel like this for any one or child is ridiculous and british airways refuse to do anything about it.",Family Leisure,Economy Class,SYD to SIN,2016-11-01,no,A320
"""BA is beneath contempt""",1,S Caruana,2016-11-27,"amsterdam to london. as a member of their executive club and someone who has flown with british airways 3 times this year i now regard them as the airline of last resort. the service on ba is beneath contempt. ryanair used to be the source of most complaints when flying, but in my experience ryanair service and punctuality beats ba with their reliance on a long lost reputation. every ba flight i have taken this year has been a source of strife and disruption. from disruption in the cabin the like of which i have never witnessed on any airline other than british airways, to delays on nearly all ba flights i have taken in 2016, rude, surly staff that act like ba was still a 1970's state enterprise. now when i search a flight and ba appears i shudder. it is even worth leaving the uk so you get a different national airline. there were even problems with the booking process. what makes matters worse is that british airways accept that they are wrong when making a complaint but do nothing to put matters right.",Solo Leisure,First Class,LHR to LAS,2016-11-01,yes,Boeing 747-400
"""a worn out and low cost discount carrier""",1,B Pearson,2016-11-23,"✅ verified review |  i booked and bought an online ticket for a multi destination 6 week trip that took me from bangkok to london, angola, london, nigeria, london and back to bangkok. before purchase i called the british airways service number on website and asked if i needed to change rearrange dates with this ticket was that ok - was told 'yes but have to pay a £150 fee', and nothing else a little steep but ok. i further checked extra's would be against the visa card used to purchase the ticket, 'of course' was the reply. ba make you pay to book a specific seat now. the trip started okay but the aircraft used on the bangkok flight very worn and old - anyway got through to 3rd leg visiting nigeria for 12 days business and looked like i could arrange to come home earlier - fired up the ba app on internet roaming service to find its not possible to re-book on the app as indicated - not given any local number to call - search out possible ba numbers - to find they no longer have an office in nigeria and get onto what transpires to be their call centre in india. operator checks there is space on an earlier flight but then announces he has to check the additional cost to come up with an extra of £1000+. i decline this option and explain the £150 as advised (actually app says change cost is £0). later ba call centre call back and say they can offer a reduced cost - hustling for business like they are haggling in an open market - however for this option it would not be possible to take payment by visa. it had to be paid in cash to only a single bank branch in abuja (during bank open hours) - some 6 hours and 300km's away. by now i had readjusted to fly on the original dates fuming with ba over the mis sold flight and ridiculous impractical conditions they try and enforce. taking this up with ba complaints - takes 2 month to elicit a first response - to be dealt with on one sided website. they do not take responsibility for the advice given over the phone, will not acknowledge any shortcomings of their app refusing to discuss it and failure to advise on their very special conditions that apply to their nigerian flights. my return flight to bangkok on a tired sunken seat with bent worn and distorted table closures and scratched video screen topped by the sight of ba cabin staff too short and rotund to be able to reach and close the overhead lockers before take off - and persuading a bemused passenger out his seat to do this for them that this is not the former 'flag carrier' but a worn out and low cost discount carrier. never again.",Couple Leisure,First Class,YYZ to LHR,2016-11-01,no,Boeing 787-800 / 777-200
"""BA have refused all responsibility""",2,Steve Greenway,2016-11-17,"✅ verified review |  i booked flights with british airways from london-kuala lumpur-bandar-kuala lumpur-london. these were all booked at the same time and they also took the booking, therefore contract, with royal brunei airlines (rbi) for the kl/bandar/kl legs. for whatever reason rbi cancelled one of the flights, and it was only by accident that i found this out, by going on the ba website. i had to change a flight and waste a day in brunei. ba have refused all responsibility, even on the lack of communicating the cancelled flight to me. i find this deplorable after booking everything through ba. i would certainly never book anything direct with ba again, as this lack of service by a major carrier to a customer is despicable.",Family Leisure,First Class,LHR to DXB,2016-11-01,no,Boeing 787
"""underwhelming due to bean counters""",3,Clive Drake,2016-11-12,"✅ verified review |  the flight started badly in the so called new concorde lounge at dubai. i have reviewed this in the lounge section. the situation was worsened by a three hour delay to our departure. apparently minimum rest period had been compromised. not sure if this was true but we ended up with a 787 crew not a 777 crew. on the 777 the first seating is double that of a 787 and result was we were served, the entire full cabin of 17 - by one fa. he did his best but must have walked about 10 miles in the flight trying to keep us happy. the boeing 777 first seat is the largest of the three options (747/787/747). mine was starting to show signs of wear. no amuse bouche. as announced last month ba have cut back this cost. wow, a £3 saving on a £3,00o one way ticket. well done ba. champagne was lukewarm, as is often the case. lamb and fennel salad appetizer was ghastly. horrible in fact. the soup was the usual butternut squash soup (do they offer anything else or am i unlucky) and was lukewarm but okay. the apricot chicken was pleasant enough but i could not taste any apricot. a bistro product at best. later in the flight i had afternoon tea - sandwiches. all dry and tasteless. watched a movie on the inflight entertainment system and this was fine. nodded off and had two hour nap which was nice. landed without being stacked for a change. as one comes to expect with ba, underwhelming due to the bean counters at lhr cutting back - as well as increasing fares. i'd like to see the entire ba board removed and a new dynamic team of men and women with vision and inspiration for our national carrier.",Couple Leisure,First Class,LHR to KUL,2016-10-01,yes,Boeing 787-9
"""budget service at a high price""",2,P Lee,2016-11-08,"what a shame to once upon a time being such a good airline, to now budget service at a high price! was such an old tatty plane each way, very uncomfortable. entertainment was old and tired. had to keep pressing many times just to change the channel. food was like mush on the way there and on the return they served me a vegetarian meal as that's all they had left. the cabin crew service was very poor on the return flight. the crew looked miserable as if they didn't enjoy their job. asking for anything was like a chore for them. one of the crew looked so untidy, her hair was all over the place. i asked to buy a bottle of perfume, when they came round with the duty free. the steward said he would come down with it soon. i waited and waited, then approached him an hour before landing. he apologised and said he forgot, that he will bring it down now. again i waited, and just before we were ready to land i asked again, he returned with a bashed in box of perfume and said sorry but this is the last one. i couldn't except it as it was very badly presented for a gift. after all that if i knew it was the last one, then i would have chose something else, but it was too late as we were landing. terrible 12 hour flight.",Solo Leisure,Economy Class,LGW to SVQ via MAD,2016-11-01,no,A319
"""leg room was poor""",3,Chris Malone,2016-11-03,"british airways state that you can check in for free. when i checked availability 24 hours prior to the flight, there were only three seats available for the three of us. i also like to have a window seat however only available seats were aisle seats in c or j. due to online check in, i had only the option to select an aisle seat. at t5 at lhr i spoke to ba customer services who advised that depending on how much you pay for the seat, only certain seats will appear available - in short, the less you pay, you get only the less popular seats with some not being available. this is apparently a new policy and the staff member said it has led to many complaints from customers. the aircraft was a 747-400 reg g-civv built in 1998. the aircraft had been renovated a couple of years ago and had new seats and led lighting. however the aircraft tables were not clean, leg room was poor and the 747 is ""an embarrassment"". these are the words of a cabin crew member, not me. true - the 747 is an embarrassment when compared to the new airliners. cabin crew were very friendly however were not widely seen, only towards the start of the flight. food was ok - veg lasagne and a nice choc mousse. however only one meal followed towards the end of the flight by a fun size chocolate bar and undrinkable coffee. ba wake up - look to see what the competition is doing aircraft wise and sort out your unfair check in policy.",Solo Leisure,Economy Class,KWI to EDI via LHR,2016-10-01,yes,"Boeing 747-400,  A320, A319"
"""cheaper than EasyJet""",10,D Larner,2016-10-29,"✅ verified review |  british airways was the cheapest airline when i booked this flight from edinburgh to gatwick, cheaper than easyjet. great service, ok snack food. professional all round. captain spoke with me personally. plane was on time and no issues. best value flight from a great little airport.",Business,Premium Economy,HND to LHR,2016-10-01,no,Boeing 777-300
"""had a perfectly satisfactory flight""",8,Andrew Evans,2016-10-23,"✅ verified review |  i had a perfectly satisfactory flight with british airways to boston and back this month (oct 2016). i slept most of the way had a nibble at the food the quality of which might be declining although at altitude my taste buds are pathetic and had no alcohol. the only reason i fly first class is that the beds are more comfortable than club world and i dislike the club seating arrangement. apart from breakfast scrambled eggs i hardly eat on long haul. generally speaking, the cabin crews are good and attentive and it's a bonus if you get some ex concorde crew. i never want to board the aircraft early as i know that i will not have trouble stowing my bags in first. a previous review complained that on the 787 there is only one toilet in first but there are only 8 seats. all in all, i use ba because from the uk i can get to any part of the world quickly with few changes and in safety.",Solo Leisure,Business Class,JFK to LHR,2016-10-01,no,A320
"""no longer the premier airline""",5,Daryl Bensons,2016-10-15,"i haven't flown british airways for quite a while but this journey to nice drew home to me that ba is no longer the premier airline i thought it to be. trip was okay, no major problems but my point being is that it is no different to some of the many other airlines i have flown such as easyjet, turkish airlines, flybe etc. cabin interior was a bit tired, i asked the air hostess for a diet coke and didn't receive one. one toilet between 120 odd people in economy isn't great on a 1 hour 40 minute flight. cluttered galley of people waiting for the one toilet, congestion in the aisle blocking the flight attendants trolley, not ideal. don't get me wrong the flight and airline was okay but no different than the other lower cost airlines, when comparing ticket prices ba no longer has the edge for me.",Couple Leisure,Business Class,LGW to MRU,2016-10-01,no,Boeing 777
"""the lowering of standards""",5,P Harvey,2016-10-10,return journey gatwick to dubrovnik. outward journey seating was basic but were at least served a basic cardboard tasting breakfast and one drink. return journey departing at 12 noon only served either hot drink and 1 biscuit or cold drink and small of packet of crisps. i think this is slowly acclimatising people to refreshments being withdrawn completely early next year on short haul flights. staff were very friendly but they must be embarrassed by the lowering of standards on british airways.,Business,Premium Economy,YYZ to LIS via LHR,2016-05-01,no,Boeing 777 / 747
"""indifferent attitudes of cabin service""",4,Jeffrey Davies,2016-10-03,"✅ verified review |  flew british airways to/from heathrow recently as first experience. have read a number of previous reviews commenting about the indifferent attitudes of cabin service. i absolutely agree, and what a shame. but ba, if you actually read some of these reviews, you can actually retrain and improve our perceptions quickly. when boarding, rather than just pointing to which aisle to begin walking down, actually have your cabin staff positioned (even in economy!) to assist passengers struggling to load carry on baggage and to get seated and out of the way of others. many of us are unfamiliar with the somewhat different controls on the newer 777's. perhaps a handout as we board or a bit of cabin assistance? on long transatlantic flights, cabin stewards disappear for at least 4-5 hours mid flight. perhaps an occasional trip down the cabin once every hour or two to ask if customers need anything? (or are they fearful of the extra work?).",Couple Leisure,First Class,SIN to LHR,2016-09-01,yes,A380
"""trading on previous good reputation""",5,Terry Pyle-Corney,2016-09-29,"san jose (costa rica) to gatwick with british airways. i was very unhappy with this flight. the seats were uncomfortable. the plane was old and the tv screens were scratched and appalling to watch. there were 2 drinks services the whole 10 hour flight, not including the 2 meals which were worse than usual. we couldn't get up and walk about as the seatbelt sign was on for extended periods. i didn't think there was much turbulence, i've had worse. the crew disappeared for extended periods of time. british airways are obviously running on the cheap whilst trading on its previous good reputation. this is unacceptable. compared to the dreamliner which also has games, usb charging ports, new films and drinks on demand - this is vastly inferior and i will never travel ba again.",Couple Leisure,Economy Class,LHR to JNB,2016-09-01,yes,A380
"""was a nightmare experience""",1,M Dreelan,2016-09-25,"✅ verified review |  my husband and i flew from atlanta to london and it was a nightmare experience. first the flight was delayed of 2 hours and since we had to make a connection in london to go to geneva, we only had 45 minutes do so and it was a nightmare. no one to helped us, we had to run like crazy in the airport. we had to pass security and immigration one more time, we finally made it but we were the very last ones to board the plane to geneva as it was about to close is door. i was shocked that british airways did not provide us with any assistance, obviously they do not care about their customers. on our way back, the flight from geneva to london was late by more than 40 minutes, and we had to run again in order to catch our flight to atlanta. we flew in premium economy that does not even have its own bathroom, when you are in premium economy, there is only one bathroom for about 150 people and it is a shared one with people in economy. the food is non existent, one ounce of salad and four once of a ""so-called"" meal + dessert and watery coffee. you will be left hungry, so don't rely on their food because it is more than a huge disappointment. we paid $3800 for this trip and i regret choosing this airline. premium economy is not worth the extra fee, you only get 7 inches more than in economy but that's it. you will struggle to find a bathroom available and the food is exactly the same than in economy. that's it.  i will not fly with them again and for everyone who is interested to make a flight connection in london heathrow, please make other arrangements as it is a huge airport and british airways flights are late. the only positive thing i must mention is that employees on the plane were very gentle, polite and nice to talk to but other than that, everything else with british airways was off. not worth the price nor the headache.",Family Leisure,Economy Class,LHR to SEA,2016-08-01,no,Boeing 747
"""rude and uncaring""",1,S Graham,2016-09-21,"✅ verified review |  london heathrow to budapest. it seems british airways has lost so much of its traditional customer base that it's turning into a budget airline at scheduled prices. i only fly with them now when tour operators give me no choice. ground staff were the now usual bunch of jobs worths, refusing to change my seat because ""that's what the computer has allocated"". boarding was the now expected shambles. the no checked baggage fare option results in so many oversized bags being carried on board that overhead space for small cases is at a premium. on this flight several were removed from lockers, and the owners rudely told to put them under the seat in front, thus severely restricting leg room. cabin staff were rude and uncaring. again now the norm for ba. the in flight snack was a soggy croissant and a small plastic cup of tepid stewed tea. the seats are very narrow, allowing minimal room a no space between neighbouring passengers.",Solo Leisure,Economy Class,LHR to MIA,2016-09-01,no,Boeing 747-400
"""unfair and bad business practice""",2,Maurice Hill,2016-09-15,"london to johannesburg return. still waiting for a reply, after 6 attempts via email, post and phone to make contact. on flight ba 0055 to johannesburg the inflight service was the worst we have ever experienced. we took off around 19h30, and were only offered a drink at 21h30. this was the only drink offered that night. dinner was served at 22h30, no drinks accompanied this. we were surprised to see we were sitting in the back row of the plane, which was not what was shown on the diagram when we booked and paid extra for selecting our seats when we made the booking. we did not have a choice of meals as they had run out, all we were offered was a very poor excuse for a mushroom risotto, which was inedible. it took over an hour for the trays to be cleared away. breakfast was served to the special diets around 04h30, waking the entire section where we were seated, then the lights turned off for another hour until we were offered an equally horrible breakfast. coffee was not offered at all - the amount of liquids offered was below minimum requirements, if we had not taken our own water with us we would have had a problem. when we departed the plane it look like a rubbish tip, no waste had been collected during the flight, the cabin staff were surly and uninterested. prior to this flight we tried to avoid the “back of plane” issues by paying an additional £56.00 for exit row seats. the payment was accepted and receipt issued via email. when we went to check in online our original seats had been allocated again. when we arrived at johannesburg airport we were told that the seats were no longer available and had been allocated to other passengers. no apology or explanation was given. not the way we wanted our holiday to end. the service on this flight was as to be expected, regular drinks offered (water throughout the night), the only negatives being no choice for dinner and a poor breakfast. cabin staff were very good. we have not received a refund for the £56.00 paid for the exit row seats, and i await an explanation as to why these seats were not allocated to us. even though we were flying economy, we expect a level of service and edible food. if the back rows are to receive less or no choice on food and drinks then they should be charged less. this is unfair and bad business practice. upon speaking to other people who have flown with ba, the general consensus seems to be that only first / business class passengers seem to be valued, and our experience confirms this. ba were not the cheapest flights by far, we opted to fly with them due to reputation, which was sorely let down.",Couple Leisure,Economy Class,OPO to LGW,2016-09-01,no,A319
"""gradually declined in quality""",2,J Spencer,2016-09-11,"naples to london gatwick. the aircraft was fairly new (which made a nice change compared to the many ancient long haul planes we've flown on with ba). we'll ignore all the reasons for the flight being slightly delayed and go straight to our complaint: having left our hotel too early for breakfast we decided to wait for the food usually served on the plane. as we didn't land until 1pm we assumed there would be some lunch offered. we were offered a soft drink and the choice of a bag of crisps or a bag of nuts! we complained and were told that this was the policy on certain flights since the beginning of august. what a disgrace. we regularly fly ba and are silver card holders, however, we've decided to fly our next two long haul flights with emirates. the ba planes we've flown on lately on long haul flights have been dated and not very clean, and the standard of the food in business class has gradually declined in quality. what other airline expects you to climb over a strangers legs or to have a stranger climb over your legs to gain access to the aisle? you can't keep waking people up and have no alternative but to ungracefully climb out! the older i get, the harder this is becoming.",Family Leisure,Business Class,LHR to LCA,2016-08-01,no,Boeing 767
"""the best thing was the crew""",8,H Ballner,2016-08-31,"✅ verified review |  i wanted to fly ba's boeing 787 to shanghai. the ground handling at terminal 5 was very efficient. a little surprised that we had to take a bus to the aircraft and walk up the stairs, but the boarding process was swift and completed 10 mins before schedule. the seats were a disappointment, they felt slightly harder and more narrow than the seats on older emirates 777/a380, cx 777 or lufthansa a380. screens were a bit smaller, legroom was about the same. ba doesn't spoil it's economy passengers here. the boeing 787 is quite silent, but the a380 is even a bit more silent during the flight. however, this is where the criticism ends. the plane was spotless, food was excellent. the best thing was the crew -  smiling and helpful, and professional.  overall the high standards of the crew would be my reason to prefer ba over the competitors.",Business,Economy Class,TXL to LHR,2016-08-01,no,A320
"""decline in the BA level of service""",4,K Larcin,2016-08-23,"✅ verified review |  warsaw to london heathrow. i fly the route regularly and i have noticed decline in the ba level of service. boarding in warsaw is chaotic. no priority boarding rules enforced (basically boarding started for everone at the same time, no matter you fly premium or are a frequent flyer). new ba short haul seats are  not really comfortable (fine for 1h flight but get uncomfortable for any longer). same concerns meals provided. crisps and drinks with no possibility of buying further food is not enough for 2.5h flight. i would rather cut on free alcohol and have a decent sandwich or a possiblity to buy further food if necessary. on the plus side, cabin service very well trained and attentive. the waw to lon route is served with other carriers (including budget ones) and i will have hard time justify paying a premium to fly ba on this route in the future.",Family Leisure,Economy Class,LHR to IST,2016-08-01,no,A321/A319
"""flight time should justify at least a sandwich""",7,A Wong,2016-08-16,"✅ verified review | the flight from london heathrow to krakow with british airways was slightly delayed but arrival on time. standard economy class service, nothing to write home about, but efficient. 5:30pm flight to arrive at 8:30pm but served only a pack of chips with a drink, not even a sandwich for this 2.5 hour flight. there is nothing to be purchased on ba. i believe this flight time should justify at least a sandwich that ba served on my previous experience.",Couple Leisure,Business Class,DUB to SFO via PHL,2016-06-01,no,A319
"""experience with BA has been awful""",3,Carolina Gomez,2016-08-04,"✅ verified review |  mexico to amsterdam via london with british airways. awful experience. my baggage is delayed since tuesday 2 august, they told me that my 2 pieces of lugagge were going to arrive the next day. i´ve been waiting and nothing has been received yet. i even paid for the upgrated seats to ensure a good care with my luggage will be given, however everything has been very dissapointing. my first experience with british airways has been awful.",Business,Business Class,ATH to KUL via LHR,2016-07-01,yes,A320 / Boeing 787
"""plane was spotless""",8,R Vines,2016-07-24,"the flight from london city to florence showed british airways (well, cityflyer in this case) at its best. the plane was spotless and reasonably new, the service was friendly and efficient and the food and wine were better than you would expect. it's worth noting that ba has no lounge at florence and the business-class seating on board is identical with economy. but if you fly economy on a good day, this is pretty much as good as it gets for a short flight.",Couple Leisure,First Class,LHR to DFW,2016-07-01,no,Boeing 777
"""a dedicated and professional crew""",10,Andrew Hickling,2016-07-15,"✅ verified review |  london heathrow - new york jfk, ba115, first seat 1k. it was very strange to be bussed to the aircraft rather than using an airbridge, but this was due to capacity issues. i was greeted at the steps of the aircraft, taken to my seat, handed pyjamas and a wash bag and a glass of champagne. the seat was the new first with upgraded panasonic entertainment system, i was addressed by name throughout the flight, given extra food to try as it was a half full cabin, regular top ups for drinks, and received a stellar service from a dedicated and professional crew. the new entertainment system was great and the buy for you fly service worked as my items were delivered to my seat. one of the best flights i've had for a long time, but i always believe it's down to the service.",Solo Leisure,Business Class,LHR to BUD,2016-06-01,no,Boeing 777-200
"""not worth it on every level""",2,Owain Cartledge,2016-07-10,"✅ verified review |  
the british airways club europe (business) product is dreadful value for money. the lounge in geneva airport was fine but busy as previous flights had been delayed. boarding wasn't done by priority, just a free for all at the gate - fine but nothing special. my real issue is with the offering on-board: no special seats, just the middle seat of three left free. we were then served a 'meal' of a few lettuce leaves, two tomatoes, two bits of cheese and a piece of chicken - really ba? to top it off we were on a remote stand at heathrow and it took a long time to get the transfer bus to us. just not worth it on every level.",Couple Leisure,First Class,LGW to UVF,2016-06-01,yes,Boeing 777
"""didn't really pay attention""",1,C Long,2016-06-30,"✅ verified review |  
flying in club europe from london city to berlin tegel, returning in economy with british airways. the outbound flight was delayed for nearly 1 hour. however, the journey itself was very smooth and enjoyable. the food offered in the ce cabin was delicious. flying back in economy was an absolute nightmare. everything went wrong from checking in, lounge access, baggage claim and extremely poor service relating to my missing luggage. i had done my online check in on my return flight. just went to the check in counter to drop off my luggage. the check in agent offered me a paper boarding pass which later i discovered had been incorrectly issued to me. she checked me in under someone else who happens to have the same last name as mine. after i dropped off my luggage, i went to the business lounge as i am a silver member. i provided the recepitionist my paper boarding pass and entrance was declined. not surprising given the fact that they gave me the wrong boarding pass. however, i showed the receptionist my silver status on my mobile app. she didn't even look at it and told me my membership had been downgraded on her system. she didn't investigate anything and asked me to call up ba which i didn't bother. when i was queuing up at the passport control, i noticed the destination shown on my boarding pass was incorrect. i approached the ba staff at the gate immediately after i had cleared through security. ba staff were shocked that i was checked in under someone else's name. wrong name, wrong flight etc. they asked me to go to the correct gate immediately, but then they also told me my checked luggage was on the wrong flight and i might not have it back upon arrival at lcy. they gave me a new luggage tag. after arriving at lcy, waited for 20mins, bag didn't show up. i approached the baggage claim agent who was on her phone. i explained the situation which she didn't really pay attention and asked me to stand next to the conveyor belt, insisting my luggage would arrive. again, no investigation, rushed service and a bit rude. 3 days later - no luggage still despite the fact that they have located my luggage.",Solo Leisure,Economy Class,LHR to BKK,2016-06-01,no,Boeing 777
