title,rating,author,date_published,review_text,Type Of Traveller,Seat Type,Route,Date Flown,Recommended,Aircraft
"""Leg room was atrocious""",4,R Young,27th June 2017,"✅ Verified Review |  Flew London Gatwick to Genoa with British Airways. Fast check in at the smart new premium area at Gatwick. Brand new lounge was really comfortable and with a great selection of food, drink and magazines, access to the lounge not very convenient but given the design of the terminal I realize that nothing can be done about that. The gate number was only announced 20 minutes prior to the gate closing and it was 20 minutes away at at fast pace, especially as there was a queue to exit the lounge by the two elevators. On board our Club Europe seats that we had paid extra to choose, something that no other airline that I know of does with a full Business Class fare, was behind the curtain. Overhead bins were full so ourselves and another 2 Club Europe passengers had to put their bags further back in the economy cabin without assistance. An engineer was called to try to move the divider and curtain back but it was stuck and remained between rows 2 and 3 with our seats being in row 3. My special meal was not on board however the crew member in the premium cabin was very obliging and a crew meal was provided for the short flight. Leg room was atrocious for Business Class and seats are the same as economy. Because the curtain could not be drawn, the Business Class toilet was used by Economy Class passengers and at times Business passengers had to queue behind them. Given the high expectations following the experience on the ground the plane was not up to standard however the service provided despite these lapses was great. Had to wait for about 20 minutes for bags despite being the only aircraft at Genoa Airport. In all this was not a Business Class quality flight, we should have flown economy for a quarter of the price.",Business,Economy Class,London to Hamburg,May 2017,no,A319
"""I cannot recommend this cabin""",3,W Charles,20th June 2017,"✅ Verified Review |  British Airways charges a big premium for Premium Economy. I sat on the top floor of the A380 after being upgraded from World Traveller at the gate, and enjoyed an aisle seat flying from Singapore to London Heathrow. There were two dinner options, chicken tikka or beef fillet, but as I dozed off I missed out. So no food until 1 hour before landing (11 hours later) unless I wanted to pay for chocolates with a credit card. I kindly asked for some water, got some orange juice too - didn't want to push it even though I saw a bottle of champagne open in the galley - not worth the risk of a bad reaction. I cannot recommend this cabin based on the high prices they charge. The staff mean well - however a gulf of enthusiasm exists between them an Singapore Airlines, Qatar, Cathay etc. It's not cultural, it's just indifference. Will continue to book BA for cheap economy (product/service offers almost no difference) and enjoy upgrades where given.",Couple Leisure,Premium Economy,Antigua to Gatwick,June 2017,yes,Boeing 777-200
"""third world experience""",3,John Drennan,13th June 2017,"✅ Verified Review |  London Heathrow to Madrid. An absolute third world experience once I got on the plane. Check-in and lounge experience were great, but once I got onboard it became obvious how clapped out some of the 767 aircraft are. There were seats with missing backs and 'Do Not Occupy' covers in front and beside them, random bits of electrical wiring hanging down from rails in the overhead, and grimy, yellowed staining around most of the cabin interior. You have to worry about what's going on the important bits, like the engines, if the same standard is applied outside the aircraft as in the cabin. The crew spent as much time as they could in the galley, and interacted with passengers as little as possible. The breakfast service was a salt-infused hot cooked offering, and just one run of drinks. Anything else you wanted you had to use the call button. The one and only reason I booked this cabin was that it was actually just a few pounds more expensive on the overall ticket routing I'd bought.",Business,Business Class,Dusseldorf to London City,June 2017,no,A320
"""a much lower standard than other airlines""",3,M Spencer,10th June 2017,"✅ Verified Review |  My wife and I were very disappointed with our British Airways flights from Sydney to London return, flying Premium economy. The food quality, cutlery and service was of a much lower standard than other airlines such as Air New Zealand and Qantas that we have used. There are no toilets allocated for the cabin, and are located at the middle of the economy cabin, quite a long walk and at times a very long line of other passengers waiting to use them. The seats are a bit more comfortable and spacious than economy class, the entertainment viewing screen is ok as are the films music and earphones. BA don't offer priority check in at airports as do other airlines. We would not fly with BA premium economy again, it is not worth paying the much more expensive fare than the standard economy fare.",Couple Leisure,Economy Class,London to Johannesburg,June 2017,no,A380-800
"""I'm sticking with them""",10,Vincent Borlaug,7th June 2017,"✅ Verified Review |  Washington to Sofia via London, flying World Traveller Plus premium economy to London and EuroTraveller economy on the short hop. Top quality service, whatever may have declined in economy class, premium economy is as good as ever with 38in leg-room and meals (really tasty in this instance) that can be ordered in advance. The cabin crew are still the BA strength creating a relaxed, congenial atmosphere in the cabin. Smooth connections at Terminal 5 with no waiting (either way) and Tribute Cornish Ale available on the long haul drinks menu, and service is a winner. (I'll admit the M&S food/drink service can be a bit time-consuming as far as handling the payments, but works OK otherwise.) British Airways continue to deliver a first-rate travel experience, and I'm sticking with them.",Family Leisure,Economy Class,Heathrow to Bergen,May 2017,no,A319
"""wasn't worth the hassle for me""",3,Craig Cain,30th May 2017,"✅ Verified Review |  London Heathrow to Seoul return. I booked my return flights back in January when BA were having their annual sale for around £1700. Thought this was a bargain as they are usually up around £3000. London to Seoul flight was very pleasant. Didn't get to use the business class lounge in Heathrow as my connection from Manchester was delayed by 40 minutes. Cabin crew on the actual flight were excellent and very attentive. Food and drink was what you would expect of most business class airlines with a decent amount of high-quality menu choices. The seat layout of 2-3-2 with seats facing in the opposite direction to each other and a divider between them felt a little bit cramped. The seats were very comfortable and went flat which is better than some, however there is a fold-down seat/step in front of you that you have to use to able to stretch out fully. I'm 6'0 and found I was at my limit of being able to stretch out fully so anyone taller than that would probably be a bit uncomfortable. Inflight entertainment had a decent range of tv and films to choose from including some of the more recent releases. Toilets were also smaller and more cramped than on other airlines that I've flown business class with before. The only let down was that the cabin itself was hotter than the sun and I found it difficult to sleep because of this. Seoul to London was what really let BA down for me and left a sour note on what was an amazing 3 months in Korea. In the days leading up to the flight, BA's ""massive IT Failure"" and the lack of information and help surrounding it meant I was having to frantically check if my flight would be leaving at all, with the flights on the 27th and 28th being cancelled completely. Luckily they got it sorted in the early hours of the morning on the day of the flight. The flight and cabin crew arrived late for the flight and so take-off was delayed by 30 minutes. I had a connecting flight to catch to Manchester so it was imperative that everything went smoothly as I had just over an hour after landing to make it. The flight was lovely with the cabin crew doing an amazing job. The pilots managed to make up for lost time and so we ended up landing 5 minutes earlier than scheduled. However, due to the backlog of delayed and cancelled flights from the past couple of days, there was another flight in the space where mine was supposed to park. This meant a delay of 20 minutes while we waited on the tarmac for the space to become free. This was time I could not afford to lose. We eventually disembarked at 14:45 which meant I had to sprint through the airport to passport control and to the baggage reclaim. Really wish I hadn't as it still took 20 minutes for the bags to come off the plane. By the time I had done all this and gone through arrivals it was 15:15 and the gate was closing in 10 mins. Talked to BA customer services and got rebooked on another flight back to the IOM (where I live) from London City but they could only book me on the 14:50pm flight the next day. Wasn't at all happy with the experience overall because of this and for what you would normally pay (over £3,000 when not on sale) it really wasn't worth the hassle for me personally.",Solo Leisure,Economy Class,Kuala Lumpur to London,May 2017,yes,Boeing 787-9
"""The crew were amazing""",9,J Sissel,24th May 2017,✅ Verified Review |  Great flight from London to Kuala Lumpur on the Boeing 787-9. The crew were amazing and friendly and couldn't have done enough. The food served was of good standard and we were asked a few times if we would like more drinks. One crew member who said she had been with BA for many years was professional and excellent at her job.,Business,Economy Class,London to Amsterdam,May 2017,no,Boeing 777-200
"""the crew were fantastic""",10,P Andrews,15th May 2017,"✅ Verified Review |  I was pleasantly surprised with British Airways on both outbound and inbound flights from Orlando to Gatwick after reading the reviews. I would go as far as to say I would choose them over Virgin now unless there was a dramatic price difference. The crew both ways were friendly and really helpful, I have found Virgin crew to be a bit up themselves thinking they are a cut above the rest. Contrary to how Virgin crew are on an overnight flight (serve food, dim lights and keep out the way until hour before landing) BA crew still regularly came round making sure everyone was ok and if anyone wanted anything. We had nearly 3 hour delay leaving Orlando on G-VIIU, firstly due to inbound being a bit late due to an alligator closing the runway and finally a medical issue on board whilst positioned on runway to go. We returned to gate for paramedics, top up of fuel etc and departed at 20.20 versus 17.35. Throughout the crew were fantastic bringing drinks round and keeping us all informed. Whilst the interior of the leisure fleet of 777 is a bit on the tired side it was still comfortable I can recommend 24D as there is no PAX seat behind just a crew seat so no issues with being kneed in the back. For economy class leg room was good. Food was fairly decent for aircraft food. Only slight negative was the dated AVOD as it has small screens and not a great deal of choice compared to more modern systems.",Couple Leisure,Business Class,LHR to TXL,May 2017,yes,A320
"""not the BA that people once knew""",1,A Lavinassou,10th May 2017,"✅ Verified Review |  British Airways from Rio de Janeiro to London Heathrow. I booked premium economy to get more legroom as I am 6ft8, however this is non-existent. The crew were rude and when the lady in front of me decided to recline the seat for her 2-year old, and I asked the crew to ""help"" with the situation, they told me that it's the passenger's right to do whatever they want. So no common sense there. Despite having other seats available in the business area, they refused to move me, even though they were seeing the issue (I couldn't fit in my seat for a 10 hour flight). They even told us off as they were getting aggravated by us being nosy! I had to pay extra 100 pounds each way to reserve 2 seats! Needless to say the food is awful and the service overall is 0/5 stars. This is not the BA that people once knew. It's under IAG and new ""leadership"" team that aim to cut expenses at any cost, one of them being customer service. Avoid like the plague!",Couple Leisure,First Class,London Heathrow to Miami,April 2017,no,A380 and Boeing 747
"""downgraded their economy service""",7,Calum Astin,4th May 2017,"✅ Verified Review |  BA12 onboard British Airways A380 for the gruelling 13 hours from Singapore to London Heathrow is pretty hellish for economy passengers. I'd like to be biased to BA - I'm silver member and British and it's my national carrier but come on let's get to the chase. This route is now also served by Garuda and Singapore and I can say BA are at the bottom of the list for the economy service. Seats are really uncomfortable and near impossible to find an angle to get some rest, the pillows are wafer thin - like sitting on a a bunch of tissues bundled together. Food is lousy and they have removed the silverware and dinner extras like crackers, chocolates and other things that you can snack on. They close down the rear galleyway and turn it into their personal hang out area instead of a self service drink and snack zone like other airlines. This also means you are stuck in your aisle which is frustrating when you want to get to an unoccupied toilet in the other aisle and your toilet section has queues. Further toilets are not regularly cleaned and soap ran out half way through the flight and wasn't refilled. BA have downgraded their economy service in all areas and you feel like the crew treat you like a poor peasant - polite and respectful but minimum effort. On the plus movie selection is great and TV on the A380 is good but not in Singapore Airlines league. Your air miles earning for this route is more generous than Garuda and Singapore. I Would recommend premium economy if you can or If you have to make this route try and get upper deck where configuration is 2-4-2 rather than 3-4-3 downstairs. Or alternatively try the competition which will soon include Norwegian Air and I can't see how Norwegians' economy class can be any worse than BA's.",Couple Leisure,Economy Class,Hong Kong to London Heathrow,May 2017,yes,Boeing 777
"""Service was an absolute shambles""",1,M Coates,1st May 2017,"✅ Verified Review |  Heathrow Terminal 3 to Budapest in April 2017. Busy flight before the bank holiday weekend resulting in most wheelie bags being taken off passengers. Seated in row 12F which was the 6th row of economy class. After taking off on-time, it took 70 mins for the food trolley to travel 6 rows. Service was an absolute shambles! 2 staff serving a full flight whilst 2 other staff serve approximately 12 people in business class. Instead of the standard routine of the person each side of the trolley serving different rows, one steward just stood there whilst the stewardess struggled to use the iPad payment machine. Instead of prioritising passengers yet to be served, the stewardess kept serving rows she had already served (because they had finished their drinks in the time it took her to travel 4 rows). The senior purser then appeared and told off the clearly flustered staff that they had most of the plane to serve with only 45 mins of flight time left! British Airways have really let themselves go downhill - will not be going out of my way to fly with them again unless they're the cheapest option.",Couple Leisure,Business Class,Pisa to Gatwick,April 2017,no,A320
"""friendly and efficient crew""",10,M Davies,27th April 2017,"✅ Verified Review |  Heathrow to San Francisco. Upper deck in Economy, great service, friendly and efficient crew.  Comfortable. Check in was very swift, tend to not like the self check in and self bag tag, but more and more airlines are going this way so have to accept it - it was very quick so no problem there.",Solo Leisure,Economy Class,Istanbul to London,April 2017,no,Boeing 777
"""something has gone terribly wrong""",3,G Leader,23rd April 2017,"✅ Verified Review |  Belfast to Seoul via London Heathrow. Pretty poor. Short haul connection to London was good, before you had to pay for food and drink and genuinely felt like there was more leg room than the long haul. Flight from London was very cramped, I'm slightly above average height but by no means a giant and I really struggled to get comfortable. Seat was too narrow, very little leg room and the space to put my feet was taken up by what I assume was the processor for the IFE system for the seat in front. The seat was very narrow and got pretty uncomfortable after around 2 hours. The food was ok, nothing special. Not very much of it and the thimble of drinking water you get every few hours is hardly enough. As a child I remember the food on BA flights being very good but something has gone terribly wrong. Staff are one of the few things BA has going for it at the minute, one of the few things left from the BA of old when it was actually worthy of the name. Friendly staff on the flight and in the airport. Flew the same route with Qatar Airways a few months before and they were quite simply in a different league. One last note, you build this terminal 5 which is meant to be ""world class"". Firstly there is no smoking area, although we're constantly being told not to smoke many people still chose to. You expect people to wait in your terminal for hours on connections and we can't even enjoy a fag in the process though it seems the toilets are an unofficial smoking area as you're normally met with a wall of smoke when you walk in. I am not someone who can walk into an airport and buy a Rolex and a Gucci outfit, like most people. I recommend you set up some shops where normal people can actually afford the things in them rather than just window shop.",Solo Leisure,Business Class,Punta Cana to Gatwick,April 2017,no,Boeing 777
"""full service or a low cost""",5,L Raymer,19th April 2017,"✅ Verified Review |  Washington to London Heathrow return. British Airways seems to be having an identify crisis. Are they a full service or a low cost carrier? The meals have been cut back to almost nothing. Seat selection fees abound. And checked baggage fees may apply, depending upon the the type of ticket purchased. United Airlines now has a better trans-Atlantic coach product than BA. Food: On the outbound overnight flight, breakfast has been reduced to a granola bar. On the return flight, dinner was tiny. Small amounts of food in half-filled bowls, presented on a large tray, as if to emphasize the lack of food. And the pre-landing snack has been replaced with the aforementioned granola bar. Given the lack of food, BA should just switch to buy-on-board, so at least fewer people would go hungry. Flight crews seemed apologetic about the lack of food. Seat fees: I don't know of any other ""full service"" carrier that will not assign a seat in advance as part of a paid ticket. Just assume it will cost you another $40 or more per ticket on BA. Luggage fees: Completely opaque policy. On our outbound trip, we were told our tickets included one free checked luggage item. On our return we were told checked bags would be extra, although the kindly baggage check-in attendant waived the fee for us (no doubt, he too is as much a victim of BA's indecipherable baggage fee policy as are passengers). Entertainment: Boeing 777-200 outbound with good, modern, on-demand IFE system. On the return a Boeing 747-400, the system was an older on-demand system, with small blurry screens that were almost unwatchable. Cabin crews were generally friendly. In fairness, both our flights were on time and nothing went wrong. But BA just feels cheap and stingy. Will likely fly the competition in the future.",Solo Leisure,Economy Class,ORY to JFK via LHR,April 2017,no,A320
"""I won't be flying BA anymore""",1,A Stewart,17th April 2017,"✅ Verified Review |  Los Angeles to London Heathrow. I have to agree with all the other reviews on here. BA have gone so far in cost cutting that the service the flight attendants are able to offer is just appalling. There's just nothing positive left to say about them. From the newly refurbished 747 that looks drab and cramped with the new uncomfortable slimline seats, to the disgusting cheap meals. The flight attendants were pleasant but you can see they're embarrassed and have nothing to offer. All this would be fine but British Airways still charges premium prices and for what? I just took a flight on the same route with Virgin Atlantic and what a difference! All the little extras that make long flights bearable are still there and the prices are cheaper. I'm afraid to say I won't be flying BA anymore unless it's to use up avios I'd acquired!",Couple Leisure,Economy Class,London to New Delhi,November 2016,no,Boeing 777
"""want to be a no-frills airline""",2,C Morgan,12th April 2017,"✅ Verified Review |  I had to change my flight back from San Diego because of an accident that required a stay in hospital. I'd flown out first class and had a business class return. I do understand why some fare structures mean that flights are not changeable, but BA were absolutely no help at all. They flatly refused to change the flight so I had to buy a ticket in the only available class - World Traveller Plus. Which cost $3,300 - one way. The first class fight to was OK - nice cabin crew and good food, but grubby cabin and clear cost cutting - no snacks, water etc in the galley like there used to be. Absolutely no help on the return trip - despite requests before the flight - because I was walking with a stick. I'd requested an aisle seat, had to ask again at check in as they had given me a seat in the middle which would have really annoyed other passengers as I tried to get across them to go to the loo etc with my stick. Really poor value at $3,300 and rubbish seats, uncomfortable and tv screens that aren't great. The food was awful - clear that costs are being cut massively. Maybe their plan is to offer such rubbish food that when they introduce food you have to buy in long haul we all feel grateful! It's a pity really. It's obviously BAs call if they want to be a no-frills airline, but I'd rather they were honest with us so that we can choose amongst the many other no frills airlines. But they keep trying to say that BA is a leading brand with strong values when clearly they've decided to cut costs wherever they can but still charge high prices. Might make them profitable to be a follower in the short term but I suspect people will vote with there feet and fly with someone else.",Couple Leisure,Economy Class,Marrakech to London Gatwick,April 2017,no,A320
"""can no longer live on past reputation""",1,L Johnson,6th April 2017,"✅ Verified Review | Having only flown easyJet / Ryanair for all my short-haul journeys over the last 10 years or so, I was pleased to see a relatively low-cost BA flight for my round trip from London to Rome. In hindsight, I wish I'd booked a different airline and not booked BA based on its legacy reputation. To say that this was a disappointing experience would be an understatement. I expected, at the very least, an equivalent service to that of other low-cost short-haul airlines, certainly not worse. Narrow seats are to be expected but these seemed far more narrow than the norm. Regardless of this, there is no excuse for a seat being so uncomfortable. Even on a 2.5hr trip this was almost unbearable coupled with the fact that, at a relatively small 5""8, my knees were grazing the seat in front. Lucky the seats had no recline feature to make matters worse. I was also tantalised by the BA bragging of M&S supplied food. I am more than happy to pay for this on a short-haul flight and don't expect anything for free. It certainly looked delicious from the pictures and descriptions. Sadly, being sat in row 22, this meant that after the frustratingly slow pace of the cabin crew finally getting to me meant that they had run out of pretty much everything. No sandwiches, no fruit salad, no yoghurt. I asked what they did have. Their response 'Bottle of water or a Kit Kat'. After asking the cabin crew why there was so little option their response was surprising to say the least. 'They never give us enough food. It's mad. They give us 6 sandwiches for the whole flight'. Needless to say that BA can no longer live on their past reputation. They had an opportunity to position themselves as the best of the low-cost carriers. Sadly, they probably sit about 4th or 5th down the list. I'd say I'd give their long-haul a chance but after this experience, I won't bother. What a shame.",Business,Economy Class,Miami to London,January 2017,no,Boeing 747
"""very lazy and oblivious staff """,3,Ashley Mayes,29th March 2017,"✅ Verified Review |  London Heathrow to Los Angeles. Worst flight ever with British Airways, you can see why they have fallen out of the top 10! Very lazy and oblivious staff members. They ran out of food during both meal times. We were promised a replacement but nothing came until they cleared away the trays. All we got was ""oh sorry"" and a re-re heated meal. After leaving the service light on for 15 minutes looking for some water, I went to the back of the plane to find 2 members of staff reading the paper. Even after complaining to customer service after the flight we weren't treated much better. If it wasn't because for the avios program it was enough to put me off for a life time!",Solo Leisure,Economy Class,London Heathrow to Johannesburg,March 2017,no,Boeing 747-400
"""never use British Airways again""",1,C Leventis,22nd March 2017,"✅ Verified Review |  I am 73 years old. Was scheduled to fly from Montreal to Heathrow on January 30th and from there to Athens on February 1st where I would catch another connection to Cyprus. I was delayed in Montreal for 5+ hours (never given a reason why), stuck in the aircraft from 9 pm until 3am cause customs was closed. Had to wait another 6 hours at Heathrow. Missed my connection to Athens and my connection from Athens to Cyprus. Was never offered accomodation or compensation. Had to book another flight on February 2nd and book a stay at a hotel close to Athens airport. Contacted British Airways, they replied with the usual vague comments. I followed up and never got a reply. Clearly I am being ignored. I will never use British Airways again.",Family Leisure,Economy Class,GOT to SFO/PHX via LHR,March 2017,no,Boeing 747-400 / 777-200
"""delayed 1 hour due to no cleaners""",3,T Madson,16th March 2017,✅ Verified Review |  Gatwick to Mauritius. 12 hour flight delayed 1 hour due to no cleaners. Advised by First officer that Cabin Crew had to clean the plane! Crumbs on seat and greasy windows. Otherwise fairly average flight until woken up 2 hours out of Mauritius to be advised that toilets on plane were full and no further use please! Just after waking up most people like to visit the toilet surely? Anyway seatbelt signs then illuminated though little if any turbulence. One hour out First Officer came on again with further abject apology re toilets not working as apparently the toilet tanks hadn't been emptied at LGW before departure. Two hours with legs crossed for over 200 pax! Surely flight should never have departed without emptying tanks. Trust they maintain the engines better!,Business,Business Class,Orlando to London,March 2017,no,Boeing 777
"""not a business class product""",2,P Reece,9th March 2017,"✅ Verified Review |  Newark to London Heathrow. This was the first time I have flown long-haul BA for sometime (although I am BA Goldcard holder due to my travels on other Oneworld Carriers). The lounge in Newark is lovely and mostly quiet although there is no separate First section and food is only offered for business and first passengers. Super views over the airfield. Boarding was smooth however the hard product is awful compared to the competition. This was a new Boeing 787 however the Ying-Yang seat configuration, no air vents, high density, poor quality food (and very little of it), very basic toilet facilities (compared to American business class on the same route), a shoe bag instead of amenity kit. The product is akin to an excellent premium economy and not a business class product. Flight attendants were ok but just going through the motions. I asked not to be served breakfast and just a cup of tea but this was forgotten about. The arrivals lounge is grim - tiny plastic and linoleum shower cabins which are not clean and too small. Overall very poor and I will not fly with them again unless no other options.",Couple Leisure,Business Class,London Heathrow to Pisa,March 2017,no,A321
"""Overall a good flight""",7,E Smyth,4th March 2017,"✅ Verified Review |  Overnight flight from St Lucia to Gatwick. Efficient check in. Lounge at St Lucia was pretty dire, some snacks provided which were ok. Plane on time. Club world middle seats which were a good option for us. The food options on this flight were not of the usual standard I would expect of business class. The starter of melon and cucumber was poor. The chicken main was overcooked and lacked any flavor. Drinks were good. Some options missing as not loaded but quality generally good. FA's were in the main good but some better than others. I was well looked after. However, the FA attending to my wife lacked experience and it showed. Overall a good flight. On the subject of baggage, it would seem that few of us with priority tagged baggage received their bags quickly (mine were almost last!).",Business,Premium Economy,London to Mumbai,February 2017,no,Boeing 777
"""dreadful, stressful experience""",2,Ken Wilkins,24th February 2017,"✅ Verified Review |  San Jose Costa Rica to London Gatwick. We were firstly unable to get two seats together at online check-in. The next day at the airport we asked the clerk if we could have our seats together and he refused. I argued my case that we had paid a lot of money for these flights. After about ten minutes he showed the seating plan to his supervisor who immediately approved changing us to be seated together. I later found out the two BA employees, travelling either for free or at a drastically reduced rate had been given the seats originally and were eventually, after a great deal of argument moved. I have complained to BA and they have confirmed that this did indeed happen and will ensure it doesn't in the future. Next up we both had salmon and were both ill towards the end of the flight. My IFE didnt work, they offered to move me, ironically to swap with one of the BA employees but I declined as it defeated the object of wanting to sit with my wife. Choice of starter also not available but that was no big deal. Dreadful, stressful experience for people who'd paid a lot of money. Have been called by Customer Service who have offered us 10000 Avios as compensation, enough for a night at the Holiday Inn Express! Awful company to deal with, totally dismissive of customer need. On the plus side Business Class seats were comfortable and cabin crew attentive. BA need to do better though, far better if they are to compete with the good Middle East and Far Eastern airlines.",Solo Leisure,Premium Economy,Toronto to London,February 2017,no,Boeing 787-8 / 787-9
"""no better than no frills competitors""",1,Peter Hill,21st February 2017,"✅ Verified Review |  London Heathrow to Stuttgart. Fly in comfort and style is the slogan of British Airways, but there is not much of either around these days. Not willing to pay an extra £8, I was allocated a middle seat right at the rear. At the gate an announcement was made for volunteers to check in their hand-luggage ""at no extra cost"". Within a minute a burly employee told me I had to check in my cabin bag, saying ""you should not believe what is said on the company's website"". How very true! Some ten other passengers, equally perplexed suffered the same fate. I know there were ten, because another employee kept counting us and saying ""we need ten"". The burly employee was later to be found on the airbridge to make sure that we really did hand over our cabin bags. All in all a demeaning experience. The seat rows are now more tightly packed than before. Although of average slim build, I found the seat a tight fit. Only a few passengers took up the offer to purchase food or drink (the deceptive ""upgrade"" we were sold at the beginning of the year). But still, did not reach the back of the plane until shortly before landing. Not only have the complimentary food and drink disappeared, but also newspapers and priority boarding for those of us who are frequent flyers. On the return journey I noticed part of the reason for this new policy: the Stuttgart ground staff have now been replaced by agency staff. BA is now no better than the no frills competitors, but keeps the facade of a full service airline with full service prices. A loyal customer of many, many years, I will choose their competitors in future.",Business,Business Class,London to Hong Kong,February 2017,yes,Boeing 777
"""flight OK with snack and drink""",8,A Wong,16th February 2017,"✅ Verified Review | Flying British Airways from Paris to London is less convenient as they are the only major airline that has the check in counter located one floor down at basement, but good that on this occasion the business class lounge is relocated to the Cathay Pacific lounge as this caters for long haul passengers. Boarding on time but held in tarmac for half an hour, not BA's fault. The pilot tried to make up time but still failed by a few minutes to have lost the allotted time, so the aircraft parked a mile away with inconvenient stair deplane and coach connection, but good that business passengers are taken away first in a separate car. The flight is OK with snack and drink.",Solo Leisure,Economy Class,Vienna to Los Angeles via London,December 2016,no,A319
"""next time I will fly Ryanair""",2,A Taylor,11th February 2017,"❎ Unverified |  London Heathrow to Innsbruck. I have been a loyal customer of British Airways for 30 years. If ever I had a choice between them and another airline I chose British Airways, but no more. The new food and drink service is appalling. The crew on our flight never made it to the last 8 or so rows, so my children (sat at the back) went thirsty. This was particularly poor as another child had wandered to the back of the plane and vomited copiously everywhere - clearly that is not BA's fault, but it is their fault that I couldn't then get a drink for my children to take their minds off the stench of puke pervading our part of the plane. Next time I will fly Ryanair. I doubt we'll notice any difference.",Solo Leisure,Business Class,Gatwick to Salzburg,January 2017,yes,A320
"""British Airways, you need improve""",4,Peter Maidment,6th February 2017,"❎ Unverified |  Gatwick to Barbados, outbound on 19th January and returning 2nd February. Over many years and travelling to many parts of the world, our last flight was a eye opener to see what bean counters can do to ruin a airlines reputation. Please British Airways, you need improve.",Business,Economy Class,Zurich to London,January 2017,no,Boeing 777
"""dreadful business class experience""",1,S Mullins,31st January 2017,"✅ Verified Review |  Gatwick to Barcelona return, and just dreadful pretty much sums up this British Airways business class experience. Since BA moved to Gatwick south terminal, their new lounge is still not ready. They're currently using the clubrooms and the old Virgin Atlantic lounge, now called the speedbird lounge. Gold card holders and passengers travelling in business or first class use the clubrooms. What a sorry state this lounge was. Full, with limited seating, a forty minute wait for food, no available snacks and empty drinks cabinets. I left as hungry and thirsty as I arrived. No to worry though, British Airways will feed me onboard. Once onboard, for a two hour flight, I was served afternoon tea which consisted of three finger sandwiches, a scone and a really small slice of cake. This meal was completely insufficient. There was one drinks round offered and one top up offered. Given that BA use the smallest glasses possible, coupled with its love of miniature cans of lemonade, you will be thirsty. I found trading up to business class to be completely not worth the extra spend. After being disappointed by the outbound catering my disappointment was set to continue with the exact same afternoon tea meal served on my inbound flight. Staff were indifferent and spent most of their time chatting in galley.",Solo Leisure,First Class,LHR to PHL,January 2017,yes,Boeing 777
"""they have lost absolutely their unique selling points""",2,Gerald Pitcher,26th January 2017,"✅ Verified Review |  The decline of British Airways. My review is primarily on BA Euro Traveller in economy. Up to two years ago one felt good when travelling BA. They were miles ahead of budget airlines. Yes they were a bit more expensive, but one enjoyed reasonable food and beverage, checked in cases of 20kg, all part of the service. Today BA provides no free food or beverage, and require extra payment for check in luggage. Today, within Europe, BA has absolutely no advantage opposite EasyJet, Norwegian, Monarch or even Ryanair. Why should anyone pay extra for BA, they have lost absolutely their unique selling points. Incidentally coming back from Malta to London Gatwick in BA in business class, there is nowhere to hang coats. Previously BA flight attendants always hung them in a cupboard. And now NO CUPBOARDS! Extra seats instead. The Decline and Fall of a once proud BA. In future BA will need to to meet or be cheaper than the budget airlines.",Couple Leisure,Business Class,Gatwick to Tampa,January 2017,no,Boeing 777
"""the aircraft was filthy""",1,D Norman,22nd January 2017,"✅ Verified Review |  Flew British Airways from Miami to London Heathrow on 15th January and the aircraft was filthy in Economy class. Pulled out the tiny TV from under the armrest and there was hair attached. Opened the armrest to retrieve table and the dirt was disgusting, this has been an accumulation over a long period of time. TV didn't work and after 3 hours into a 8.5 hour flight and the attendant trying to re-boot it 3 times I finally asked what could be done. I had paid extra for a seat that had extra leg room (seat 29A) as there is no seat in front and you could stretch right out. There was a seat free in Business class but the Manager on the flight made it clear that he was 'not allowed' to move me. I traveled business class on the outbound flight on 3rd Jan but did not feel that it was value for money. I will stick with Emirates or Virgin in the future as I know the aircraft are clean with good customer service. I logged this complaint onboard at the time but a week later still heard nothing, doesn't surprise me.",Business,Economy Class,LGW to CUN,November 2016,no,A320
"""incompetence and insincerity""",1,Y Li,17th January 2017,"✅ Verified Review |  Shanghai to Zurich via London return, and British Airways is absolutely appalling. I have never experienced such terrible customer service from an airline. I booked two return premium economy seats for my mother and I to go from Shanghai to Zurich via London. On the way there, the flight to Zurich was cancelled due to French strike, not BA's fault so that part is clear. However, they kept the flight on the board until very last minute then told everyone it was cancelled, furthermore, they ran out of hotels to put people up and we wasted about 5 hours (after a 12 hours flight) to go through customs (thank god we can enter visa free unlike a few other passengers), find a hotel, arrange our own transport there and back. So the first leg already left a terrible impression. Then, on the way back to Shanghai, they overbooked business so they pushed business passengers into premium economy and then pushed my elderly mother and I to economy for a 12 hour flight. I booked premium economy for a reason, my mum has health issues and need the room in premium economy, did BA care? No. Told us that we were involuntarily downgraded upon check in but that likely we will still get a seat, then at boarding, told us sorry it's either fly economy now or wait till tomorrow to see if there is a seat. Because I had work the next day, we had no option but to fly and BA ushered us on with the promise that they will put in the fare difference request on my behalf which will be processed asap. Three months down the track, I have yet to see a single cent of fare difference and of course there are no customer service phone numbers/emails to write to, only an impersonal link online for you to submit a reference and compliant to their customer service black hole. Needless to say I will forever boycott BA for its incompetence and insincerity towards a paying customer.",Solo Leisure,Business Class,LHR to HKG,January 2017,no,Boeing 777
